Tipo,Operación,Precio,Administración,Niveles,Habitaciones,Baños,Parqueaderos,Área Construida,Área Lote,Barrio,Estrato,Ciudad
Lote,Venta,200000000.0,376100.0,0.0,0.0,0.0,0.0,0.0,168.0,San Pedro - Portico,4.0,Cúcuta
Apartaestudio,Venta,140000000.0,222000.0,0.0,1.0,1.0,0.0,34.8,34.8,Centro,4.0,Cúcuta
Apartamento,Venta,340000000.0,267000.0,0.0,3.0,2.0,1.0,71.41,71.41,Prados Del Este,3.0,Cúcuta
Casa,Venta,185000000.0,0.0,0.0,3.0,2.0,1.0,57.21,57.21,BOCONO,3.0,Cúcuta
Apartamento,Venta,300000000.0,160000.0,0.0,3.0,2.0,1.0,68.21,68.21,Prados del Este,3.0,Cúcuta
Casa,Venta,340000000.0,184000.0,0.0,3.0,2.0,2.0,112.0,112.0,Prados Del Este,4.0,Cúcuta
Casa,Venta,320000000.0,120000.0,0.0,3.0,2.0,1.0,113.0,113.0,Av. Libertadores,4.0,Cúcuta
Apartamento,Venta,145000000.0,112000.0,0.0,3.0,2.0,0.0,48.0,48.0,Bocono,3.0,Cúcuta
Apartamento,Venta,240000000.0,237509.0,0.0,3.0,2.0,1.0,61.7,61.7,San Luis,3.0,Cúcuta
Apartamento,Venta,300000000.0,207000.0,0.0,3.0,3.0,1.0,84.0,84.0,Prados Del Este,3.0,Cúcuta
Apartamento,Venta,300000000.0,207000.0,0.0,3.0,3.0,1.0,84.0,84.0,PRADOS DEL ESTE,3.0,Cúcuta
Apartamento,Venta,210000000.0,119000.0,0.0,3.0,2.0,0.0,62.02,62.02,SAN LUIS,3.0,Cúcuta
Apartamento,Venta,400000000.0,0.0,0.0,3.0,3.0,1.0,92.7,92.7,LA RIVIERA,4.0,Cúcuta
Apartamento,Venta,135000000.0,120000.0,0.0,3.0,2.0,0.0,57.0,57.0,Bocono,3.0,Cúcuta
Apartamento,Venta,75000000.0,60000.0,0.0,2.0,1.0,0.0,42.2,42.2,El Rodeo - Arrayanes,1.0,Cúcuta
Casa,Venta,250000000.0,0.0,0.0,3.0,1.0,1.0,110.5,110.5,Prados Del Este,3.0,Cúcuta
Lote,Venta,473094000.0,0.0,0.0,0.0,0.0,0.0,0.0,262.8,Vía Al Tennis,5.0,Cúcuta
Casa,Venta,340000000.0,0.0,0.0,8.0,6.0,1.0,84.0,84.0,Av. Las Américas,2.0,Cúcuta
Casa,Venta,180000000.0,0.0,0.0,3.0,2.0,0.0,106.0,114.24,Loma De Bolívar,3.0,Cúcuta
Casa,Venta,400000000.0,0.0,0.0,4.0,4.0,1.0,137.0,108.0,Av. Libertadores - Alcala,4.0,Cúcuta
Casa,Venta,350000000.0,0.0,0.0,4.0,3.0,1.0,135.0,135.0,Trigal Del Norte,2.0,Cúcuta
Apartamento,Venta,230000000.0,307000.0,0.0,3.0,2.0,1.0,92.1,92.1,El Rosal,4.0,Cúcuta
Casa,Venta,280000000.0,100000.0,0.0,2.0,3.0,1.0,80.39,47.47,Bocono,3.0,Cúcuta
Casa,Venta,240000000.0,0.0,0.0,3.0,2.0,1.0,0.0,127.152,San Luis,3.0,Cúcuta
Casa,Venta,580000000.0,370000.0,0.0,3.0,3.0,2.0,114.0,99.9,"Av. Libertadores, Playa Hermosa",4.0,Cúcuta
Apartamento,Venta,520000000.0,700000.0,0.0,3.0,3.0,1.0,170.0,170.0,LA RIVIERA,5.0,Cúcuta
Oficina,Venta,110000000.0,228000.0,0.0,0.0,1.0,1.0,35.47,35.47,Quinta Vélez,3.0,Cúcuta
Casa,Venta,200000000.0,0.0,0.0,3.0,2.0,1.0,90.0,90.0,Trigal Del Norte,2.0,Cúcuta
Apartamento,Venta,365000000.0,0.0,0.0,3.0,2.0,2.0,106.6,106.6,Quinta Bosch,4.0,Cúcuta
Casa,Venta,290000000.0,0.0,0.0,2.0,2.0,1.0,110.5,110.5,Prados Del Norte,4.0,Cúcuta
Apartamento,Venta,200000000.0,53000.0,0.0,3.0,2.0,1.0,53.86,53.86,"AV. LIBERTADORES, PLAYA HERMOSA",4.0,Cúcuta
Casa,Venta,180000000.0,0.0,0.0,3.0,1.0,0.0,165.0,165.0,La Cabrera,3.0,Cúcuta
Casa,Venta,320000000.0,0.0,0.0,3.0,3.0,1.0,157.5,157.5,Niza,4.0,Cúcuta
Casa,Venta,230000000.0,150000.0,0.0,2.0,1.0,1.0,89.28,89.28,Bocono,4.0,Cúcuta
Apartamento,Venta,480000000.0,950000.0,0.0,3.0,3.0,2.0,194.57,194.57,Caobos,5.0,Cúcuta
Casa,Venta,280000000.0,0.0,0.0,3.0,1.0,1.0,107.0,107.0,Prados Del Norte,4.0,Cúcuta
Apartamento,Venta,280000000.0,170000.0,0.0,3.0,2.0,1.0,71.95,71.95,Prados del Este,3.0,Cúcuta
Casa,Venta,270000000.0,0.0,0.0,3.0,1.0,0.0,250.0,250.0,San Miguel,3.0,Cúcuta
