Tipo,Operación,Precio,Administración,Niveles,Habitaciones,Baños,Parqueaderos,Área Construida,Área Lote,Barrio,Estrato,Ciudad
Apartamento,Venta,535000000.0,680000.0,4.0,3.0,3.0,0.0,119.0,119.0,La Floresta De Suba,4.0,Bogotá
Oficina,Arriendo,1500000.0,362000.0,3.0,0.0,1.0,0.0,50.0,0.0,Chico Norte,6.0,Bogotá
Apartamento,Venta,530000000.0,280000.0,0.0,3.0,3.0,0.0,109.45,109.45,Marly,4.0,Bogotá
Apartamento,Venta,315000000.0,343000.0,2.0,1.0,1.0,1.0,30.0,0.0,Santa Barbara-Usaquén,5.0,Bogotá
Casa,Venta,230000000.0,,1.0,3.0,2.0,1.0,90.0,106.0,Betania,3.0,Chinácota
Casa,Arriendo,650000.0,,0.0,2.0,1.0,0.0,106.0,106.0,BUENA VISTA III,2.0,Villa del rosario
Apartaestudio,Venta,426000000.0,1000000.0,0.0,1.0,1.0,1.0,38.57,38.57,Chico Reservado,6.0,Bogotá
Casa,Arriendo,2700000.0,,0.0,4.0,3.0,2.0,126.0,126.0,Chía,4.0,Chía
Apartamento,Arriendo,900000.0,,0.0,2.0,2.0,0.0,65.0,65.0,ZULIMA I,3.0,Cúcuta
Local,Arriendo,13000000.0,,0.0,0.0,2.0,0.0,150.0,90.0,Barrio Blanco,4.0,Cúcuta
Apartamento,Arriendo,1400000.0,,0.0,1.0,1.0,0.0,34.0,34.0,Minuto de Dios,3.0,Bogotá
Apartamento,Venta,200000000.0,147200.0,23.0,2.0,1.0,0.0,41.0,41.0,Ismael Perdomo,3.0,Bogotá
Oficina,Arriendo,800000.0,,2.0,0.0,1.0,0.0,54.0,54.0,Barrio Blanco,4.0,Cúcuta
Lote,Venta,200000000.0,376100.0,0.0,0.0,0.0,0.0,0.0,168.0,San Pedro - Portico,4.0,Cúcuta
Oficina,Arriendo,2000000.0,324000.0,1.0,1.0,1.0,0.0,20.98,0.0,El Virrey,5.0,Bogotá
Apartamento,Arriendo,1700000.0,,11.0,3.0,2.0,1.0,68.0,68.0,Prados Del Este,3.0,Cúcuta
Casa,Arriendo,2500000.0,,0.0,5.0,5.0,0.0,142.0,142.0,Quinta Oriental,4.0,Cúcuta
Casa,Arriendo,1100000.0,,0.0,2.0,2.0,2.0,160.0,80.0,PUEBLO PAJA - CHINACOTA,3.0,Chinácota
Apartamento,Arriendo,850000.0,,0.0,2.0,1.0,0.0,42.0,42.0,BOCONO,3.0,Cúcuta
Apartaestudio,Arriendo,750000.0,,3.0,1.0,1.0,0.0,45.0,45.0,ZULIMA I,3.0,Cúcuta
Casa,Venta,3000000000.0,,0.0,3.0,3.0,0.0,460.0,0.0,San Patricio-Usaquén,6.0,Bogotá
Apartamento,Arriendo,2270000.0,730000.0,3.0,1.0,2.0,1.0,39.0,0.0,Santa Barbara Occidental-Usaquén,6.0,Bogotá
Consultorio,Arriendo,3000000.0,,0.0,0.0,0.0,0.0,11.0,0.0,Nuevo Country-Usaquén,6.0,Bogotá
,,,,,,,,,,,,
Casa,Venta,190000000.0,156000.0,0.0,3.0,3.0,1.0,64.185,64.185,Villa Del Rosario Anillo Vial Oriental,3.0,Villa del rosario
Apartamento,Venta,480000000.0,362000.0,1.0,3.0,2.0,1.0,73.72,0.0,Alameda 170-Usaquén,4.0,Bogotá
Casa,Arriendo,1500000.0,,0.0,3.0,3.0,1.0,110.0,66.0,Urbanización Videlso,2.0,Los patios
Apartaestudio,Venta,140000000.0,222000.0,0.0,1.0,1.0,0.0,34.8,34.8,Centro,4.0,Cúcuta
Bodega,Venta,1450000000.0,800000.0,0.0,0.0,4.0,0.0,356.0,356.0,Siberia,4.0,Cota
Apartamento,Venta,340000000.0,267000.0,0.0,3.0,2.0,1.0,71.41,71.41,Prados Del Este,3.0,Cúcuta
,,,,,,,,,,,,
Casa,Venta,185000000.0,,0.0,3.0,2.0,1.0,57.21,57.21,BOCONO,3.0,Cúcuta
Local,Arriendo,1000000.0,400000.0,0.0,0.0,0.0,0.0,10.0,0.0,Metrópolis,4.0,Bogotá
Local,Venta,160000000.0,400000.0,0.0,0.0,0.0,0.0,10.0,0.0,Metrópolis,4.0,Bogotá
Apartamento,Venta,140000000.0,,2.0,3.0,2.0,0.0,76.26,0.0,Campo Amor,3.0,Pamplona
Casa,Arriendo,2650000.0,,0.0,1.0,2.0,3.0,90.0,1000.0,la cumbre,3.0,Cajicá
Oficina,Venta,6500000000.0,7050000.0,0.0,0.0,0.0,7.0,316.0,0.0,Santa Barbara-Usaquén,6.0,Bogotá
Casa,Arriendo,2700000.0,,2.0,3.0,2.0,1.0,90.0,0.0,Chía,3.0,Chía
Apartaestudio,Arriendo,2105000.0,255000.0,5.0,1.0,1.0,0.0,17.11,0.0,Santa Barbara Occidental-Usaquén,6.0,Bogotá
Apartamento,Arriendo,1600000.0,318700.0,2.0,2.0,1.0,0.0,47.0,47.0,PRADO PINZÓN,3.0,Bogotá
Apartamento,Venta,250000000.0,161000.0,19.0,2.0,1.0,0.0,42.0,0.0,Villemar,3.0,Bogotá
,,,,,,,,,,,,
,,,,,,,,,,,,
Apartamento,Arriendo,1525000.0,,4.0,3.0,2.0,0.0,44.0,44.0,MANDALAY,3.0,Bogotá
Apartaestudio,Arriendo,650000.0,,1.0,1.0,1.0,0.0,50.0,50.0,La Cabrera,2.0,Cúcuta
Local,Arriendo,8400000.0,,0.0,0.0,2.0,1.0,297.0,297.0,Caobos,3.0,Cúcuta
Apartamento,Venta,300000000.0,160000.0,0.0,3.0,2.0,1.0,68.21,68.21,Prados del Este,3.0,Cúcuta
Casa,Arriendo,750000.0,,0.0,3.0,1.0,0.0,91.0,91.0,Atalaya etapa 1,3.0,Cúcuta
Casa,Venta,340000000.0,184000.0,0.0,3.0,2.0,2.0,112.0,112.0,Prados Del Este,4.0,Cúcuta
Casa,Venta,720000000.0,,0.0,3.0,2.0,1.0,118.0,0.0,Andes Norte,4.0,Bogotá
Casa,Venta,320000000.0,120000.0,0.0,3.0,2.0,1.0,113.0,113.0,Av. Libertadores,4.0,Cúcuta
Oficina,Arriendo,2250000.0,,3.0,0.0,2.0,0.0,90.0,90.0,GALERIAS,4.0,Bogotá
Casa,Venta,390000000.0,393000.0,3.0,3.0,3.0,1.0,85.0,103.0,Avenida Pradilla,4.0,Chía
Apartamento,Venta,145000000.0,112000.0,0.0,3.0,2.0,0.0,48.0,48.0,Bocono,3.0,Cúcuta
,,,,3.0,1.0,2.0,1.0,50.0,0.0,El Virrey,5.0,Bogotá
Casa,Venta,210000000.0,270000.0,0.0,3.0,2.0,2.0,70.0,70.0,Chinácota,3.0,Chinácota
Casa,Venta,760000000.0,250000.0,0.0,3.0,5.0,2.0,122.0,141.0,Bocono,3.0,Villa del rosario
Local,Arriendo,2400000.0,472000.0,0.0,0.0,1.0,0.0,58.0,58.0,BATAN,5.0,Bogotá
Apartamento,Venta,240000000.0,237509.0,0.0,3.0,2.0,1.0,61.7,61.7,San Luis,3.0,Cúcuta
Casa,Arriendo,6200000.0,,0.0,7.0,6.0,0.0,287.0,0.0,Bonanza,4.0,Bogotá
Bodega,Venta,480000000.0,,0.0,1.0,2.0,0.0,300.0,197.65,San Isidro,1.0,San cayetano
Apartamento,Venta,300000000.0,207000.0,0.0,3.0,3.0,1.0,84.0,84.0,Prados Del Este,3.0,Cúcuta
Apartamento,Arriendo,2730000.0,156600.0,0.0,2.0,2.0,0.0,52.0,52.0,Palermo-Teusaquillo,3.0,Bogotá
Apartamento,Venta,300000000.0,207000.0,0.0,3.0,3.0,1.0,84.0,84.0,PRADOS DEL ESTE,3.0,Cúcuta
Local,Arriendo/venta,3000000550000000.0,,0.0,0.0,1.0,0.0,82.0,82.0,Niza,5.0,Bogotá
Apartamento,Venta,210000000.0,119000.0,0.0,3.0,2.0,0.0,62.02,62.02,SAN LUIS,3.0,Cúcuta
Local,Arriendo,3600000.0,,1.0,1.0,1.0,0.0,34.0,34.0,Las Aguas,3.0,Bogotá
,,,,,,,,,,,,
Apartaestudio,Arriendo,1228500.0,185700.0,1.0,1.0,1.0,1.0,27.0,27.0,SAN FASON,3.0,Bogotá
Apartamento,Venta,1050000000.0,1107000.0,6.0,3.0,4.0,1.0,141.0,0.0,El Nogal,6.0,Bogotá
Apartamento,Arriendo,2800000.0,543600.0,5.0,3.0,2.0,1.0,88.01,0.0,La Colina Campestre,5.0,Bogotá
